
Tempo total de execução: 0.941915 segundo(s).

Origem: 0 	 Destino: 536 	 Distância: 0
Origem: 0 	 Destino: 537 	 Distância: 0
Origem: 0 	 Destino: 538 	 Distância: 0
Origem: 0 	 Destino: 539 	 Distância: 0
Origem: 0 	 Destino: 540 	 Distância: 0
Origem: 0 	 Destino: 541 	 Distância: 0
Origem: 0 	 Destino: 542 	 Distância: 0
Origem: 0 	 Destino: 543 	 Distância: 0
Origem: 0 	 Destino: 544 	 Distância: 0
Origem: 0 	 Destino: 545 	 Distância: 0
Origem: 0 	 Destino: 546 	 Distância: 0
Origem: 0 	 Destino: 547 	 Distância: 0
Origem: 0 	 Destino: 548 	 Distância: 0
Origem: 0 	 Destino: 549 	 Distância: 0
Origem: 0 	 Destino: 550 	 Distância: 0
Origem: 0 	 Destino: 551 	 Distância: 0
Origem: 0 	 Destino: 552 	 Distância: 0
Origem: 0 	 Destino: 553 	 Distância: 0
Origem: 0 	 Destino: 554 	 Distância: 0
